mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0019989013671875,1.5078914929239175e-07,0.0017989158630371093,0.00039973260394204083,gini,20,6,5,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 6, 'min_samples_split': 5}",0.9591836734693877,0.9795918367346939,0.9795918367346939,0.9791666666666666,1.0,0.9795068027210885,0.012908376128670712,384
0.0023989200592041014,0.0004900187632319686,0.0013991832733154298,0.0004895704682168957,gini,20,6,6,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 6, 'min_samples_split': 6}",0.9591836734693877,0.9795918367346939,0.9795918367346939,1.0,1.0,0.9836734693877551,0.015272070966424267,35
0.0021988868713378905,0.0003998518096733217,0.0015990257263183594,0.0004895509801351309,gini,20,6,7,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 6, 'min_samples_split': 7}",0.9591836734693877,0.9795918367346939,0.9795918367346939,1.0,1.0,0.9836734693877551,0.015272070966424267,35
0.00219874382019043,0.0003998041828300369,0.00159912109375,0.000489531565593068,gini,20,6,8,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 6, 'min_samples_split': 8}",0.9591836734693877,0.9591836734693877,0.9795918367346939,0.9791666666666666,1.0,0.9754251700680271,0.015250276047477723,588
0.0021945476531982423,0.00039224636227202326,0.002202415466308594,0.0009859186672138216,gini,20,6,9,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 6, 'min_samples_split': 9}",0.9591836734693877,0.9591836734693877,0.9795918367346939,1.0,1.0,0.9795918367346939,0.018253616142855447,214
0.002198600769042969,0.0004001141304822542,0.00159912109375,0.0004898236313161175,gini,20,6,10,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 6, 'min_samples_split': 10}",0.9591836734693877,0.9591836734693877,0.9795918367346939,1.0,1.0,0.9795918367346939,0.018253616142855447,214
0.002198648452758789,0.0004000903703225433,0.0009993553161621095,2.431401974483864e-07,gini,20,7,2,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 7, 'min_samples_split': 2}",0.9591836734693877,0.9795918367346939,0.9795918367346939,0.9791666666666666,1.0,0.9795068027210885,0.012908376128670712,384
0.0021988391876220704,0.00039999486081696955,0.0019988536834716795,0.0006320327219571839,gini,20,7,3,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 7, 'min_samples_split': 3}",0.9591836734693877,0.9591836734693877,0.9795918367346939,0.9791666666666666,1.0,0.9754251700680271,0.015250276047477723,588
0.0021989822387695314,0.0003999233672256966,0.0015988349914550781,0.0004893953077206996,gini,20,7,4,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 7, 'min_samples_split': 4}",0.9591836734693877,0.9591836734693877,0.9795918367346939,1.0,1.0,0.9795918367346939,0.018253616142855447,214
0.00219879150390625,0.0003996611032609397,0.0015989780426025391,0.0004894147183763052,gini,20,7,5,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 7, 'min_samples_split': 5}",0.9591836734693877,0.9591836734693877,0.9795918367346939,0.9791666666666666,1.0,0.9754251700680271,0.015250276047477723,588
0.00299835205078125,0.0006322590288503894,0.0023984432220458983,0.000489531565593068,gini,20,7,6,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 7, 'min_samples_split': 6}",0.9591836734693877,0.9795918367346939,0.9795918367346939,0.9791666666666666,1.0,0.9795068027210885,0.012908376128670712,384
0.002198648452758789,0.0003998518381055636,0.0017990589141845704,0.00039980421126566574,gini,20,7,7,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 7, 'min_samples_split': 7}",0.9591836734693877,0.9591836734693877,0.9795918367346939,1.0,1.0,0.9795918367346939,0.018253616142855447,214
